OrderDetailID,OrderID,ProductID,Quantity,ProductName,ProductPrice,CustomerID,OrderDate,CustomerFirstName,CustomerLastName,CustomerEmail
1,1032,3,2,Tablet,450,415,2021/7/5,Sophia,Davis,sophia.davis21@live.com
2,464,29,4,Highlighter,4,174,2020/5/4,Isabella,Jones,isabella.jones85@gmail.com
3,339,10,4,Camera,600,259,2019/7/28,Mason,Johnson,mason.johnson7@outlook.com
4,73,24,1,SD Card,30,108,2023/10/6,Sophia,Rodriguez,sophia.rodriguez44@yahoo.com
5,479,45,1,Projector,400,136,2023/10/13,Ethan,Miller,ethan.miller48@hotmail.com
6,1,7,4,Smartwatch,250,499,2023/3/30,Ava,Miller,ava.miller34@outlook.com
7,315,47,1,Headphones,180,410,2021/5/16,Isabella,Brown,isabella.brown67@hotmail.com
8,1994,9,3,Wireless Headphones,150,129,2021/10/7,Logan,Smith,logan.smith60@gmail.com
9,1560,1,3,Laptop,1200,250,2024/2/6,Isabella,Rodriguez,isabella.rodriguez65@gmail.com
10,707,40,5,Wall Clock,45,294,2023/7/7,Noah,Martinez,noah.martinez75@yahoo.com
11,791,13,4,Desk Lamp,90,79,2018/9/27,Liam,Davis,liam.davis86@outlook.com
12,1173,36,3,Bookshelf,150,124,2019/7/26,Emma,Smith,emma.smith92@gmail.com
13,1036,45,1,Projector,400,155,2023/5/20,Logan,Jones,logan.jones59@hotmail.com
14,1474,23,1,Portable Charger,60,37,2023/11/26,Isabella,Smith,isabella.smith90@outlook.com
15,138,41,3,Desk,250,338,2020/11/22,Ethan,Williams,ethan.williams75@outlook.com
16,181,31,5,Paper Clips,1,54,2022/7/29,Ava,Jones,ava.jones35@gmail.com
17,569,21,4,USB Flash Drive,40,383,2019/7/15,Logan,Miller,logan.miller65@outlook.com
18,1660,3,4,Tablet,450,457,2022/5/9,Logan,Davis,logan.davis59@hotmail.com
19,1831,44,1,Whiteboard,130,404,2021/5/4,Emma,Smith,emma.smith34@live.com
20,697,2,4,Smartphone,800,440,2020/12/19,Olivia,Davis,olivia.davis38@hotmail.com
21,1927,22,4,Charging Cable,20,151,2021/7/22,Ethan,Jones,ethan.jones48@outlook.com
22,554,21,4,USB Flash Drive,40,221,2021/3/25,Liam,Johnson,liam.johnson1@live.com
23,1213,43,1,Filing Cabinet,200,181,2019/11/27,Sophia,Brown,sophia.brown2@yahoo.com
24,390,16,2,Webcam,100,477,2022/9/15,Ethan,Jones,ethan.jones68@hotmail.com
25,1860,13,2,Desk Lamp,90,174,2021/1/11,Isabella,Jones,isabella.jones85@gmail.com
26,1150,6,4,Mouse,50,416,2019/10/5,Ava,Martinez,ava.martinez82@outlook.com
27,523,5,2,Keyboard,100,352,2023/11/14,Olivia,Smith,olivia.smith13@hotmail.com
28,815,9,4,Wireless Headphones,150,249,2020/5/1,Emma,Martinez,emma.martinez12@hotmail.com
29,213,8,5,External Hard Drive,120,399,2021/12/22,Sophia,Davis,sophia.davis5@live.com
30,145,13,1,Desk Lamp,90,210,2019/3/19,Ava,Smith,ava.smith16@live.com
31,589,5,3,Keyboard,100,2,2022/9/12,Isabella,Miller,isabella.miller15@hotmail.com
32,1895,16,1,Webcam,100,29,2019/6/18,Isabella,Davis,isabella.davis60@outlook.com
33,1606,21,5,USB Flash Drive,40,258,2023/9/1,Noah,Brown,noah.brown90@yahoo.com
34,1914,9,3,Wireless Headphones,150,214,2022/2/21,Ethan,Jones,ethan.jones55@yahoo.com
35,1753,31,1,Paper Clips,1,57,2021/10/12,Isabella,Martinez,isabella.martinez7@gmail.com
36,1627,17,5,Microphone,120,238,2018/12/30,Ethan,Davis,ethan.davis95@yahoo.com
37,1150,2,3,Smartphone,800,416,2019/10/5,Ava,Martinez,ava.martinez82@outlook.com
38,1389,3,3,Tablet,450,154,2022/10/22,Emma,Garcia,emma.garcia48@outlook.com
39,1933,20,5,Fitness Tracker,160,279,2023/2/18,Noah,Jones,noah.jones19@outlook.com
40,1127,17,2,Microphone,120,328,2020/6/17,Mason,Davis,mason.davis61@live.com
41,1540,21,1,USB Flash Drive,40,66,2020/1/16,Mason,Williams,mason.williams1@live.com
42,1515,17,3,Microphone,120,321,2020/5/14,Logan,Johnson,logan.johnson92@gmail.com
43,1923,19,5,Graphic Tablet,300,189,2019/12/31,Isabella,Brown,isabella.brown7@gmail.com
44,918,42,4,Office Chair,150,11,2021/3/4,Ethan,Miller,ethan.miller64@outlook.com
45,922,7,4,Smartwatch,250,283,2020/10/22,Olivia,Smith,olivia.smith16@live.com
46,1174,11,1,Printer,200,219,2019/5/16,Liam,Martinez,liam.martinez1@yahoo.com
47,55,38,1,Water Bottle,30,498,2022/2/3,Sophia,Smith,sophia.smith75@gmail.com
48,233,30,5,Stapler,12,402,2018/11/18,Isabella,Garcia,isabella.garcia74@gmail.com
49,136,25,4,Computer Mouse Pad,15,93,2022/3/26,Ethan,Jones,ethan.jones97@hotmail.com
50,1268,38,3,Water Bottle,30,143,2022/2/28,Ava,Jones,ava.jones99@gmail.com
51,1989,20,5,Fitness Tracker,160,190,2020/4/9,Noah,Williams,noah.williams36@live.com
52,1354,6,4,Mouse,50,147,2023/7/20,Noah,Miller,noah.miller80@live.com
53,460,4,4,Monitor,300,301,2019/3/22,Ava,Garcia,ava.garcia27@yahoo.com
54,632,24,5,SD Card,30,135,2018/10/18,Ethan,Williams,ethan.williams99@hotmail.com
55,1911,21,5,USB Flash Drive,40,440,2019/12/5,Olivia,Davis,olivia.davis38@hotmail.com
56,1034,25,5,Computer Mouse Pad,15,91,2023/12/19,Mason,Williams,mason.williams3@hotmail.com
57,20,21,3,USB Flash Drive,40,436,2020/10/14,Ethan,Miller,ethan.miller56@hotmail.com
58,1665,12,2,E-reader,130,322,2021/1/8,Ava,Martinez,ava.martinez63@outlook.com
59,497,45,4,Projector,400,107,2023/5/5,Olivia,Williams,olivia.williams2@live.com
60,187,14,4,Gaming Chair,400,318,2019/9/13,Ethan,Miller,ethan.miller72@live.com
61,1348,49,2,Gaming Console,500,348,2022/9/6,Olivia,Smith,olivia.smith63@gmail.com
62,1643,34,2,Calculator,25,10,2021/3/23,Ethan,Smith,ethan.smith30@yahoo.com
63,153,13,1,Desk Lamp,90,336,2023/10/28,Olivia,Garcia,olivia.garcia54@hotmail.com
64,1863,28,3,Pen,3,265,2023/12/15,Ava,Miller,ava.miller73@hotmail.com
65,954,40,3,Wall Clock,45,22,2021/12/29,Ethan,Garcia,ethan.garcia51@live.com
66,708,16,1,Webcam,100,500,2023/4/22,Noah,Williams,noah.williams99@hotmail.com
67,1789,21,2,USB Flash Drive,40,156,2021/8/16,Logan,Miller,logan.miller86@live.com
68,539,5,5,Keyboard,100,98,2019/12/29,Sophia,Smith,sophia.smith58@outlook.com
